nnnnngurfbabsUheunqznqrurchgorsbergurgnoreanpyrbsgurYBEQ
.sruo neeb evah dluow harromoG eht dna ,modoS ekil neeb evah ,dna aaaaaaaaaa sa neeb evah dluohs ew ,llams yrev a su otnu tfel dah stsoh fo DROL eht fo drow eht raeH.dna ;stsaeb def fo taf eht dna ,smar fo sgnireffo tnrub eht fo lluf ma I :DROL eht htias ?em otnu secifircas ruoy fo edutitlum eht si eprup tahw oT
A,See her
B,by herself
C,the nations
D,has become
E,the evil
F,like a window
G,her face
H,Judah is
I,gone into
J,into captivity
K,because of
L,If you
M,are doing
N,your best
O,you will not have
P,to worry
Q,about failure
R,Her adversaries
S,are the chief
T,for the LORD
U,And from
V,the daughter
W,of Zion
X,Jerusalem
Y,remembered in
Z,keeps in mind
a,into the power
b,had no helper
c,her attacker
d,their desire
e,Great is the
f,sin of Jerusalem
g,O LORD
h,her sorrow
i,Her filthiness
j,in her skirts
k,remembereth
l,her last end
m,she gave
n,no thought
o,to her
p,in CCU
q,faithful city
r,upright twon
s,silver is
t,become dross
u,Your silver
v,The princes are
w,her judges
x,Your chiefs
y,they do not
z,looking for profit
