A,oh god
B,given you
C,every herb
D,every plant
E,which has
F,fruit producing
G,they will
H,be for
I,your food
J,the earth
K,every beast
L,please let
M,that creepeth
N,there is
O,for meat
P,it was
Q,every bird
R,the air
S,for food
T,was so
U,the heavens
V,was finished
W,the host
X,all things
Y,seventh day
Z,he rested
a,God blessed
b,came to
c,the end
d,his work
e,he took
f,his rest
g,had done
h,me pass
i,the generations
j,the day
k,the LORD
l,these are
m,the serpent
n,unto the
o,shall not
p,every tree
q,the snake
r,was wiser
s,God hath
t,not certainly
u,For God
v,doth know
w,eat thereof
x,walking in
y,a secret
z,away from
